id,k16_cluster
2dOTkLZFbpNXrhc24CnTFd,3
6PGoSes0D9eUDeeAafB2As,6
6Se3x9ANMLv0dCDsjGmEjh,1
1KqV8d7A86fiFWDTxWRXUI,10
68wIBE5dVVX8RyfZCJnAj5,5
07TnWCHrFkvF61GzJuLVt0,5
75ZvA4QfFiZvzhj2xkaWAh,3
76Y0gxtTxN0FyDCYh5qYQj,2
0PXp9QxBfSKGGpWUNaws2X,6
49zD0wr2S3d0lZPib0K4e1,2
4SYUUlkScpNR1QvPscXf8t,3
1ysAvOdJgUjc6CqOQxepaz,6
3a1lNhkSLSkpJE4MSHpDu9,6
0LpiKjWMfZTkPPHonlM8nB,6
0H8XeaJunhvpBdBFIYi6Sh,5
6eT7xZZlB2mwyzJ2sUKG6w,5
5dI1yHSqgmilFEqpGbqxHh,5
32lItqlMi4LBhb4k0BaSaC,4
7BKUWh5sdtdS17crohRe4L,5
1bxEpNR75Hq3T2oF9AZjt8,11
6gBFPUFcJLzWGx4lenP6h2,6
0yhMmqax6HRAZxI7udEask,5
7wdzLe2Gsx1RGqbvYZHASz,2
4iYRa2btalAzPZoSYfROqF,11
6IZvVAP7VPPnsGX6bvgkqg,3
6SwRhMLwNqEi6alNPVG00n,2
2LTlO3NuNVN70lp2ZbVswF,11
1EaKU4dMbesXXd3BrLCtYG,11
6HZILIRieu8S0iqY8kIKhj,11
5p3NP9mQblDsVJLdfNZJ3I,5
7KXjTSCq5nL1LoYtL7XAwS,2
0y9uTzK9cNKSAEHnpeRG8C,11
1HoyBOU4jgZkB9F0atzgsm,11
7cGFbx7MP0H23iHZTZpqMM,0
3Sz9VwghywEClUXq8vzt2b,3
52OInUlQusYhJ6L3zMVLpM,6
4eiOk988Prwe5MQnnQtglt,11
6YOgXjBp1fLqnZfKLCNYhd,11
6OK2jHQub9ZMGD1blTvprV,4
5Z3GHaZ6ec9bsiI5BenrbY,0
4ZT9EKb1iN9Cd5omcHcfoZ,2
4E5rL7YL0hVUPqeMSpjEF2,7
0aOf8m2Y7eGsV17WsuH8Xj,2
1WIfWj5skn5UUZTs4cEFBe,11
03D2t5wn77cpCxH8p99ZvA,3
5mCPDVBb16L4XQwDdbRUpz,6
