id,title,artists,pp_artist,k16_cluster
2AfUjMwDO13IQbEQ3kCvO1,Pork Chop's Little Ditty - Edit Version,['Primus'],Primus,10
1R4By36dcTsai8sjC4b3Jw,Heavy Eyelids,['Danny L Harle'],Danny L Harle,3
2lt3EukzzxNHaVoz22FUqf,Orpheus - Ballet in 3 Scenes / 1st scene: Introduction,"['Igor Stravinsky', 'Orpheus Chamber Orchestra']",Igor Stravinsky / Orpheus Chamber Orchestra,10
1KPS1MHPrq9uPklJX8Q4XW,ILY2,['Charli XCX'],Charli XCX,3
4WAfKgCgcl915GbpdH8ptD,Muscle Cars,['Mylo'],Mylo,13
1X8jc3FHCa6rhciLl0sp45,Izzue,"['DaVido', 'Dammy Krane']",DaVido / Dammy Krane,2
0oVj4tzNaAN7WV6ZVcXdas,Pioneer,['Inkke'],Inkke,0
1mXUqkCpIIKUls5TJtDUHT,"Fart 1 SFX, Soundscape ringtone, alarm, alert","['Ringtones, Royalty Free Music, and Sound Effects']","Ringtones, Royalty Free Music, and Sound Effects",9
7ePYV9wwzP81LwXqcqqeMJ,Happy All the Time,['Danny L Harle'],Danny L Harle,2
7Mu8VjpUfFqZJ5OKC1nNpQ,Owed T'Alex,['Captain Beefheart & His Magic Band'],Captain Beefheart & His Magic Band,1
43ri1ntzxjZgXh6KxQGDE1,You're Not Alone,['Olive'],Olive,2
6udFBv3qe6LOh2LfgVmbcY,Piel,['Arca'],Arca,10
03FOLqqUOGRcYR7LnWVM25,DJ's Unite - Volume 1,"[""Dj's Unite""]",Dj's Unite,13
7kbgARiW7NDJRWdtGBy2hK,Exercise No. 7,"['Luc Ferrari', 'Frederic Rebotier', 'Samon Takahashi', 'Ravi Shardja', 'Jean-Marcel Busson', 'Ciro Longobardi', 'Brunhild Ferrari']",Luc Ferrari / Frederic Rebotier / Samon Takahashi / Ravi Shardja / Jean-Marcel Busson / Ciro Longobardi / Brunhild Ferrari,9
4xX7OsX8XTGWJgRxNNIaFT,You Want Me (feat. Sadie Ama),"['Tom Zanetti', 'Sadie Ama']",Tom Zanetti / Sadie Ama,0
3jVtllWS5CFFWLQng8sKsr,2 On (feat. ScHoolboy Q),"['Tinashe', 'ScHoolboy Q']",Tinashe / ScHoolboy Q,6
3RKYUjYedS0SrMw1nkt4Gf,Enemiez,"['Keke Palmer', 'Jeremih']",Keke Palmer / Jeremih,3
18kS89XLmy7TXpaLaH4OYO,Without You - Bonus Commentary,['David Guetta'],David Guetta,11
4ymByZAPRqTlyJASAoJ921,Bounce,"['Timbaland', 'Missy Elliott', 'Justin Timberlake', 'Dr. Dre']",Timbaland / Missy Elliott / Justin Timberlake / Dr. Dre,3
6wOFwXcpXvjC2f6UOGLKp6,After the Afterparty (feat. Lil Yachty) - Danny L Harle Remix,"['Charli XCX', 'Lil Yachty', 'Danny L Harle']",Charli XCX / Lil Yachty / Danny L Harle,3
4T4qq8dTBnN3mPCnp3y2oE,Money Owners,"['Shade Sheist', 'Timbaland']",Shade Sheist / Timbaland,6
1CCitjT63LKZY5XQFd1bte,The Hermit,['John Renbourn'],John Renbourn,10
3HvjdMXIlooglCXI3SrJGT,Cry (Just A Little) - Radio Edit,['Bingo Players'],Bingo Players,3
3HMM1UF3rSnpnq33wp3Lh1,Consumed,['The Haxan Cloak'],The Haxan Cloak,10
5M2LFOy2TvzBVU5KCd6N8v,Heaven,"['DJ Sammy', 'Do']",DJ Sammy / Do,6
2wCRJwiL1WSrW0Dwfco7Nj,Know Who You Are,"[""Auli'i Cravalho"", 'Vai Mahina', ""Olivia Foa'i"", ""Opetaia Foa'i"", 'Matthew Ineleo']",Auli'i Cravalho / Vai Mahina / Olivia Foa'i / Opetaia Foa'i / Matthew Ineleo,9
4Y8q64VnhD0vFYy9g2WFpi,It Feels So Good,['Sonique'],Sonique,3
7hflY8LpoAi4bUF7hBOWSX,Night And Day,['Raymond Scott'],Raymond Scott,10
7o1D7BNNWa4WAYIJNl0SLQ,NANIMONO (feat. 米津玄師) - Danny L Harle remix,"['Yasutaka Nakata', 'Kenshi Yonezu', 'Danny L Harle']",Yasutaka Nakata / Kenshi Yonezu / Danny L Harle,3
7bzGIvAl75rZB20O9t5a5Z,Monopoly,"['EASYFUN', 'Noonie Bao']",EASYFUN / Noonie Bao,1
3oOvErhSBCs0Bd6VgekYR9,"12 Etudes, Op. 10 (Excerpts): No. 1 in C Major ""Waterfall"" [Live]","['Frédéric Chopin', 'Maurizio Pollini']",Frédéric Chopin / Maurizio Pollini,10
0B2RttXEiyXsMeQ7mMP3EI,Cruel (feat. ZAYN),"['Snakehips', 'ZAYN']",Snakehips / ZAYN,5
04mo8aGpEs0V2XYP8rtA5E,blisters,['serpentwithfeet'],serpentwithfeet,1
5uTfpIHtRxtLTJo0gSqff8,Newark Cypher (feat. Nassie),"['DJ LILMAN', 'Nassie']",DJ LILMAN / Nassie,11
1ZAng3CBSfq4KLQF7oEFtB,All The Sad Young Men - Danny L Harle Remix,"['Spector', 'Danny L Harle']",Spector / Danny L Harle,13
1xN7BpTAWnZkuSLOtRP6Qc,Euphoria - Single Version,['Loreen'],Loreen,3
1EWsVHU4FNAdtN4R8FETag,Push The Feeling On - Mk Dub Revisited Edit,"['Nightcrawlers', 'MK']",Nightcrawlers / MK,2
31NZmnpQihkWw7il2vXfOu,完全形態,['Kyary Pamyu Pamyu'],Kyary Pamyu Pamyu,3
0WF4bfTAgTTnh6RaEKf1lK,Born Naked (feat. Clairy Browne) [Stadium Remix],"['RuPaul', 'Clairy Browne', 'Stadium']",RuPaul / Clairy Browne / Stadium,14
4LIU44C0gLBeSJdrKi82ae,Super Natural (feat. Carly Rae Jepsen) - Autoerotique Remix,"['Danny L Harle', 'Carly Rae Jepsen', 'Autoerotique']",Danny L Harle / Carly Rae Jepsen / Autoerotique,3
4pDqq2SLcpQZn9TXkiiyeR,Memories - Original Mix,"['Scott Brown', 'Plus System']",Scott Brown / Plus System,3
6L35DYriF8W9Bu5HuqLkys,Really Don't Care,"['Demi Lovato', 'Cher Lloyd']",Demi Lovato / Cher Lloyd,6
3PUIVxGDO1WlEaO0ePTYzP,Touch Me,['Eva Tolkin'],Eva Tolkin,0
5YZU5hCuOVNezhwaZfAy3g,Track 6,['felicita'],felicita,9
3v2oAQomhOcYCPPHafS3KV,Opus,['Eric Prydz'],Eric Prydz,15
3MXDEDLmQPSQvoyJIYbIp3,Higher,['Carly Rae Jepsen'],Carly Rae Jepsen,3
3dhPpCQvw3kn7so6mkTbJ3,After Life (feat. Stacy Barthe),"['Tchami', 'Stacy Barthe']",Tchami / Stacy Barthe,13
4XrKWBHDm587nYp6Io33oo,Party Favors (feat. Young Thug),"['Tinashe', 'Young Thug']",Tinashe / Young Thug,5
7he6lozdc8BMqA2dTnonyk,"Tell Me, Tell Me...Baby",['*NSYNC'],*NSYNC,2
1NvAqtx7PytXUytohhYXbk,Secret (Shh),['Charli XCX'],Charli XCX,5
3ghwDnrMU5K6uQ1N97TdYk,Special - Danny L Harle Remix,"['Billon', 'Maxine Ashley']",Billon / Maxine Ashley,4
4Yu4cofaVvQbYSq5aHehD4,Antonio Lotti: Crucifixus a 8,['New London Singers'],New London Singers,10
1nMTBjKdCNPQoZdxsxzTLE,Booty-Whop,['Big Freedia'],Big Freedia,2
3KmJnUN23jLU4P6ecTzhnV,ELLE,['SOPHIE'],SOPHIE,13
2MJhYjlmSHLGblwqnblweV,Purcell : King Arthur : Overture to Act 1,['William Christie'],William Christie,7
2dWB85sLIZN6shUXNKq6lr,Void Vision,['Cyber People'],Cyber People,15
3Lnb561DlckyyTSONuqbLQ,The One,['Carly Rae Jepsen'],Carly Rae Jepsen,2
1XYRz1jsvXmOBNbLE44jCH,Super Natural (feat. Carly Rae Jepsen) - DJ Zinc Remix,"['Danny L Harle', 'Carly Rae Jepsen', 'DJ Zinc']",Danny L Harle / Carly Rae Jepsen / DJ Zinc,13
3r1PDPRXWzXCZJJQeiowfx,Chanting,"['Ornette Coleman', 'Prime Time']",Ornette Coleman / Prime Time,10
1tODhJU9HBb1ScNMXxZY1A,Super Natural (feat. Carly Rae Jepsen),"['Danny L Harle', 'Carly Rae Jepsen']",Danny L Harle / Carly Rae Jepsen,6
2aSnVDiHQuWeEdAonvd5tD,Shining star,['INNA'],INNA,2
4jYyr6UxgAIITQjOA4VT1Y,I Bite Through It,['Oneohtrix Point Never'],Oneohtrix Point Never,15
6sJWjeNP7stpwbuKV3ygFw,"Why Ask You II, MB 63","['John Bull', 'Mahan Esfahani']",John Bull / Mahan Esfahani,10
12nOJO89vc7vuHQUcse2Tq,Mary Mack,['Babyface'],Babyface,0
2Fc3GG0g44NbggiPUKM7AG,Portrait of Tracy,['Jaco Pastorius'],Jaco Pastorius,10
5TPCHtr8uYLKMXijNV8ZEz,Bass Creator,['Basshunter'],Basshunter,4
31S9lns2x8gDVOJjQ5iWCu,Wasserklavier,"['Luciano Berio', 'Tamara Anna Cislowska']",Luciano Berio / Tamara Anna Cislowska,10
4Nem67gauMONGhgtXj69FE,At Night (I Think About You) - Danny L Harle Remix,"['MNEK', 'Kevin Jz Prodigy', 'Danny L Harle']",MNEK / Kevin Jz Prodigy / Danny L Harle,11
6QNVYknUkjgXMHN44LllzC,No Good (Start The Dance) - Edit,['The Prodigy'],The Prodigy,15
5XqX2XLswrtp23AA8wDvYO,Mmmhm,['felicita'],felicita,11
2vmcv4E4FWPuaeF42WcXmT,Messe de Nostre Dame: II. Kyrie,"['Guillaume de Machaut', 'Diabolus in Musica', 'Antoine Guerber']",Guillaume de Machaut / Diabolus in Musica / Antoine Guerber,8
36lB3tfz1hlZ2xU7Tx67G0,Mirror Of Love,['2 Brothers On The 4th Floor'],2 Brothers On The 4th Floor,3
6HUkUySYHOmFCjjBozCBlz,Three Places in New England: The Housatonic at Stockbridge,"['Charles Ives', 'Leonard Slatkin', 'St. Louis Symphony']",Charles Ives / Leonard Slatkin / St. Louis Symphony,10
5Njrdd3SA4fOsDMPVphxSb,Maria Magdalena - Remastered,['Sandra'],Sandra,2
0xs0ewnEb6c2DlY7LjOD7t,Girls Just Wanna Have Fun,['Cyndi Lauper'],Cyndi Lauper,6
1Ppwc43WYFEBXw2n1ePhDY,Footloose,['Kenny Loggins'],Kenny Loggins,4
6ZEAXknmx2mrO3KgcDNpFI,Wake Me Up Before You Go-Go,['Wham!'],Wham!,0
01HfU8E4c9waj3jW9eudLe,All Night Long (All Night) - Single Version,['Lionel Richie'],Lionel Richie,0
2aEuA8PSqLa17Y4hKPj5rr,Cheri Cheri Lady,['Modern Talking'],Modern Talking,6
1BY1Vd2Bt6JPOhMvsIwtVv,Dancing With Myself,['Billy Idol'],Billy Idol,4
77z7uyqzErfQvre6x9fZD8,Video Killed The Radio Star,['The Buggles'],The Buggles,0
3XV94CG6thReMh5yHW9U8t,Take My Breath Away,['Berlin'],Berlin,0
0viZ7D81W8pD65TkzaFkXT,Love Is A Battlefield,['Pat Benatar'],Pat Benatar,6
4NH4xiPQ7TqNGqj6pZV4ki,Karma Chameleon,['Culture Club'],Culture Club,6
1yrNoXJopuBtsL5Vj62ESi,Englishman In New York,['Sting'],Sting,6
28o8m1o9RGtySbmQJtAvym,Africa,['TOTO'],TOTO,6
4CoSCPlKNrWli7E5kFtbcl,Little Lies - 2017 Remaster,['Fleetwood Mac'],Fleetwood Mac,0
2kYnfwjx2KSJIoHf7nBjNL,Dr. Beat,['Miami Sound Machine'],Miami Sound Machine,0
2oWMI54r0qT4N8Xb4C76vq,The Look,['Roxette'],Roxette,0
07ABETRdek3ACMpRPvQuaT,Always on My Mind,['Pet Shop Boys'],Pet Shop Boys,6
2W4HHauPXqsxTGgCMwGwaq,Listen to Your Heart - Swedish Single Edit,['Roxette'],Roxette,3
6hci8n9UowepjRmCc6CKTv,Somebody's Watching Me - Single Version,['Rockwell'],Rockwell,2
4Y5yjzs9FFw5qIgfZBd43I,"Living in America - From ""Rocky IV"" Soundtrack",['James Brown'],James Brown,0
1uBsu3PbD2909UBIfEMLvK,Jumpin' Jack Flash,['The Rolling Stones'],The Rolling Stones,13
0gljI0CtjpdZK6ecidfxto,Wild Thing,['Tone-Loc'],Tone-Loc,6
5HiKQLlJ3LAuz8J9yHB0HX,Teardrops - Single Version,['Womack & Womack'],Womack & Womack,6
7wnagOAqma4Sg6JOGjWr5R,Big in Japan - 2019 Remaster,['Alphaville'],Alphaville,5
6WK9dVrRABMkUXFLNlgWFh,Enjoy the Silence,['Depeche Mode'],Depeche Mode,2
1mie3LbIrkousFz6jwbsaZ,Fame,['London Theatre Orchestra & Cast'],London Theatre Orchestra & Cast,3
63OFKbMaZSDZ4wtesuuq6f,Born To Be Wild,['Steppenwolf'],Steppenwolf,13
5vmRQ3zELMLUQPo2FLQ76x,Smalltown Boy,['Bronski Beat'],Bronski Beat,2
0JIujrQsYJuNKSj5f4PgAm,"Holding Out for a Hero - From ""Footloose"" Soundtrack",['Bonnie Tyler'],Bonnie Tyler,2
1xgqGXZW1udHCjuwjeRDVO,One Night In Bangkok - From “Chess” / Remastered 2016,['Murray Head'],Murray Head,2
5YIF6HSOtHN9HdcE5IPzMe,Funky Cold Medina,['Tone-Loc'],Tone-Loc,2
0CicjlSiN0HdzD2nigN9j4,Sleeping in My Car - Single Version,['Roxette'],Roxette,4
3pa3bhD8hGGeyzqwy5U1Gn,West End Girls - 2001 Remaster,['Pet Shop Boys'],Pet Shop Boys,3
7Crfr7SSFmcxNXi64fKEaB,Heartbreaker,['Pat Benatar'],Pat Benatar,4
1OOtq8tRnDM8kG2gqUPjAj,Beat It,['Michael Jackson'],Michael Jackson,2
5lWFrW5T3JtxVCLDb7etPu,Bad - 2012 Remaster,['Michael Jackson'],Michael Jackson,6
6wdviVWctiZnY6tVn6bh6A,Black or White - Single Version,['Michael Jackson'],Michael Jackson,6
3FdHgoJbH3DXNtGLh56pFu,Conga!,['Miami Sound Machine'],Miami Sound Machine,0
3ibAzRj9JnowdoLkyllk3n,Holiday,['Madonna'],Madonna,6
7bkyXSi4GtVfD7itZRUR3e,Material Girl,['Madonna'],Madonna,0
2qeESyQyH7MRHCBotCQsNq,Hungry Like the Wolf,['Duran Duran'],Duran Duran,6
5npMYgysWSKOIVXj2szeLn,Vogue - Edit,['Madonna'],Madonna,3
5XeSAezNDk9tuw3viiCbZ3,Get Up Offa That Thing,['James Brown'],James Brown,14
44SLjUsOa1ChiuKlIsUmDP,Flashdance… What A Feeling,['Irene Cara'],Irene Cara,6
4jqCold0GXW9c40QyOGD8S,"Maniac - From ""Flashdance"" Soundtrack",['Michael Sembello'],Michael Sembello,2
2oiMNaVCul7qmMzpRStjCg,Land Of Confusion - Remastered 2007,['Genesis'],Genesis,0
3pbtBomO4Zt5gGiqsYeiBH,Upside Down,['Diana Ross'],Diana Ross,2
0erqs4sAtQzuA77j6L771x,I Will Survive,['Diana Ross'],Diana Ross,0
3ISKwLMuxKyp8mkxYpRzSa,Sounds Like a Melody,"['Alphaville', 'Bernhard Lloyd']",Alphaville / Bernhard Lloyd,6
2CYZBGONgPyVBiamkUeaEM,Everybody Wants To Rule The World - Single Version,['Tears For Fears'],Tears For Fears,6
0B5kY9i9bmP7554oU4jRoO,Funkytown - Single Version,['Lipps Inc.'],Lipps Inc.,13
0WkeHIrmIv55e4MhQHwZkB,Celebration - Single Version,['Kool & The Gang'],Kool & The Gang,0
1GVd8euqs4yQxGyIOLJX0c,"Axel F - From ""Beverly Hills Cop""",['Harold Faltermeyer'],Harold Faltermeyer,13
3i17RhgJVzIHoXVoqybyYs,You Give Love A Bad Name,['Bon Jovi'],Bon Jovi,3
3vSn1frPgFcRXrjWOfhMLl,Be My Lover,['La Bouche'],La Bouche,14
1K95m0tusqzkVum2PmzeIk,Livin On A Prayer,['Bon Jovi'],Bon Jovi,0
5IyL3XOaRPpTgxVjRIAxXU,Ziggy Stardust - 2012 Remaster,['David Bowie'],David Bowie,5
7J6hOQSKSGvZGgYIq9Bfv0,Together In Electric Dreams - Extended/2003 Digital Remaster,"['Phil Oakey', 'Giorgio Moroder']",Phil Oakey / Giorgio Moroder,0
5nvSfsMm1MXVvZOxd5ZdBX,Touch Me (I Want Your Body),['Samantha Fox'],Samantha Fox,2
2u8MGAiS2hBVE7GZzTZLQI,I'm So Excited,['The Pointer Sisters'],The Pointer Sisters,6
1kdxZYbXrqBX2hWtw3VFQF,Jump (For My Love),['The Pointer Sisters'],The Pointer Sisters,2
3LW4gWH646tvcOnbzTNn21,It's a Heartache,['Bonnie Tyler'],Bonnie Tyler,0
7LifJa1Ymo6gbe9hSyPefs,Living After Midnight,['Judas Priest'],Judas Priest,0
35iCSlFxyiawRBUOtQAkeT,Summer Night City,['ABBA'],ABBA,2
1iwQoAswnkS5eVlVIXN998,Boys (Summertime Love),['Sabrina'],Sabrina,15
4Cv6ongCvJy9JfSkWVnb5D,Get Down On It,['Kool & The Gang'],Kool & The Gang,2
0xRDqhYsCW6F9LM4s7gY5z,Macho Man,['Village People'],Village People,0
3J9NEWkd9Cx1MwSSvDySkL,Rock the Night,['Europe'],Europe,3
65P4EfIw8ZZ8SBDj0SCKYM,I Want Candy,['Bow Wow Wow'],Bow Wow Wow,6
4mjFMScEvHeM72791mXRCW,In the Navy - Original Version 1979,['Village People'],Village People,2
2Vnw8zKmjhr1jczUeaqiQg,"Hot Stuff - 12"" Version",['Donna Summer'],Donna Summer,0
